0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
176;..\RRLPy_data\d2006_03\d_3_27_25M.003;d_3_27_25M.003;3180;;;;;;
177;..\RRLPy_data\d2006_03\d_3_28_25M.001;d_3_28_25M.001;3180;;;;;;
178;..\RRLPy_data\d2006_03\d_3_28_25M.002;d_3_28_25M.002;3180;;;;;;
179;..\RRLPy_data\d2006_03\d_3_28_25M.003;d_3_28_25M.003;3180;;;;;;
180;..\RRLPy_data\d2006_03\d_3_29_25M.001;d_3_29_25M.001;3180;;;;;;
181;..\RRLPy_data\d2006_03\d_3_29_25M.002;d_3_29_25M.002;3180;;;;;;
182;..\RRLPy_data\d2006_03\d_3_29_26M.003;d_3_29_26M.003;3180;;;;;;
183;..\RRLPy_data\d2006_03\d_3_30_25M.001;d_3_30_25M.001;3180;;;;;;
184;..\RRLPy_data\d2006_03\d_3_30_26M.002;d_3_30_26M.002;3180;;;;;;
185;..\RRLPy_data\d2006_03\d_3_31_25M.003;d_3_31_25M.003;3180;;;;;;
186;..\RRLPy_data\d2006_03\d_3_31_25M.004;d_3_31_25M.004;3180;;;;;;
187;..\RRLPy_data\d2006_03\d_3_31_25M.005;d_3_31_25M.005;3180;;;;;;
188;..\RRLPy_data\d2006_03\d_3_31_30M.001;d_3_31_30M.001;3180;;;;;;
189;..\RRLPy_data\d2006_03\d_3_31_30M.002;d_3_31_30M.002;3180;;;;;;
190;..\RRLPy_data\d2006_04\d_4_1_25M.002;d_4_1_25M.002;3180;;;;;;
191;..\RRLPy_data\d2006_04\d_4_1_26M.003;d_4_1_26M.003;3180;;;;;;
192;..\RRLPy_data\d2006_04\d_4_1_30M.001;d_4_1_30M.001;3180;;;;;;
193;..\RRLPy_data\d2006_04\d_4_2_25M.002;d_4_2_25M.002;3180;;;;;;
194;..\RRLPy_data\d2006_04\d_4_2_25M.003;d_4_2_25M.003;3180;;;;;;
195;..\RRLPy_data\d2006_04\d_4_2_30M.001;d_4_2_30M.001;3180;;;;;;
196;..\RRLPy_data\d2006_04\d_4_3_25M.001;d_4_3_25M.001;3180;;;;;;
197;..\RRLPy_data\d2006_04\d_4_3_25M.002;d_4_3_25M.002;3180;;;;;;
198;..\RRLPy_data\d2006_04\d_4_4_25M.002;d_4_4_25M.002;3180;;;;;;
199;..\RRLPy_data\d2006_04\d_4_4_25M.003;d_4_4_25M.003;3180;;;;;;
200;..\RRLPy_data\d2006_04\d_4_4_30M.001;d_4_4_30M.001;3180;;;;;;
201;..\RRLPy_data\d2006_05\d_5_1_25M.002;d_5_1_25M.002;3180;;;;;;
202;..\RRLPy_data\d2006_05\d_5_1_25M.003;d_5_1_25M.003;3180;;;;;;
203;..\RRLPy_data\d2006_05\d_5_1_30M.001;d_5_1_30M.001;3180;;;;;;
204;..\RRLPy_data\d2006_05\d_5_2_25M.002;d_5_2_25M.002;3180;;;;;;
205;..\RRLPy_data\d2006_05\d_5_2_30M.001;d_5_2_30M.001;3180;;;;;;
206;..\RRLPy_data\d2006_05\d_5_3_25M.002;d_5_3_25M.002;3180;;;;;;
207;..\RRLPy_data\d2006_05\d_5_3_30M.001;d_5_3_30M.001;3180;;;;;;
208;..\RRLPy_data\d2006_05\d_5_4_25M.002;d_5_4_25M.002;3180;;;;;;
209;..\RRLPy_data\d2006_05\d_5_4_30M.001;d_5_4_30M.001;3180;;;;;;
